LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1095.340676,1095.340655,1661327413.627445,36469.000,3793,1,TH,1,100,33.901
1095.473860,1095.473840,1661327413.760630,36598.000,3813,1,TH,1,100,33.948
1095.607045,1095.607025,1661327413.893815,36727.000,3829,1,TH,1,100,33.948
1095.737133,1095.737112,1661327414.023902,36853.000,3861,1,TH,1,100,33.908
1095.870317,1095.870297,1661327414.157087,36982.000,3880,1,TH,1,100,33.915
1096.003502,1096.003482,1661327414.290272,37111.000,3896,1,TH,1,100,33.972
1096.135654,1096.135634,1661327414.422424,37239.000,3914,1,TH,1,100,33.972
1096.268839,1096.268819,1661327414.555609,37368.000,3947,1,TH,1,100,33.958
1096.400992,1096.400971,1661327414.687761,37496.000,3963,1,TH,1,100,33.958
1096.533144,1096.533124,1661327414.819914,37624.000,3981,1,TH,1,100,33.972
1096.666329,1096.666308,1661327414.953099,37753.000,3999,1,TH,1,100,33.972
1096.799513,1096.799493,1661327415.086283,37882.000,4031,1,TH,1,100,33.943
1096.930633,1096.930613,1661327415.217403,38009.000,4053,1,TH,1,100,33.950
1097.063818,1097.063798,1661327415.350588,38138.000,4069,1,TH,1,100,34.026
1097.197003,1097.196983,1661327415.483773,38267.000,4103,1,TH,1,100,34.026
1097.329155,1097.329135,1661327415.615925,38395.000,4122,1,TH,1,100,33.950
1097.462340,1097.462320,1661327415.749110,38524.000,4139,1,TH,1,100,33.950
1097.594492,1097.594472,1661327415.881262,38652.000,4158,1,TH,1,100,33.910
1097.726645,1097.726624,1661327416.013415,38780.000,4192,1,TH,1,100,33.917
1097.860862,1097.860842,1661327416.147632,38910.000,4208,1,TH,1,100,34.007
1097.996111,1097.996091,1661327416.282881,39041.000,4227,1,TH,1,100,34.007
1098.129296,1098.129276,1661327416.416066,39170.000,4261,1,TH,1,100,33.981
1098.261449,1098.261428,1661327416.548219,39298.000,4277,1,TH,1,100,33.981
1098.393601,1098.393581,1661327416.680371,39426.000,4294,1,TH,1,100,33.972
1098.529883,1098.529863,1661327416.816653,39558.000,4316,1,TH,1,100,33.979
1098.664100,1098.664080,1661327416.950871,39688.000,4347,1,TH,1,100,33.989
1098.796253,1098.796232,1661327417.083023,39816.000,4367,1,TH,1,100,33.989
1098.927372,1098.927352,1661327417.214143,39943.000,4383,1,TH,1,100,34.024
1099.060557,1099.060537,1661327417.347327,40072.000,4400,1,TH,1,100,34.024
1099.196839,1099.196819,1661327417.483610,40204.000,4434,1,TH,1,100,34.038
1099.330024,1099.330004,1661327417.616794,40333.000,4450,1,TH,1,100,34.038
1099.463209,1099.463189,1661327417.749979,40462.000,4470,1,TH,1,100,33.967
1099.595361,1099.595341,1661327417.882132,40590.000,4486,1,TH,1,100,33.974
1099.728546,1099.728526,1661327418.015316,40719.000,4520,1,TH,1,100,33.979
1099.864828,1099.864808,1661327418.151598,40851.000,4537,1,TH,1,100,33.979
1099.996980,1099.996960,1661327418.283751,40979.000,4561,1,TH,1,100,34.022
1100.130165,1100.130145,1661327418.416936,41108.000,4579,1,TH,1,100,34.022
1100.262317,1100.262297,1661327418.549088,41236.000,4612,1,TH,1,100,34.048
1100.395502,1100.395482,1661327418.682273,41365.000,4631,1,TH,1,100,34.048
1100.528687,1100.528667,1661327418.815458,41494.000,4648,1,TH,1,100,34.029
1100.661872,1100.661852,1661327418.948642,41623.000,4664,1,TH,1,100,34.036
1100.795057,1100.795037,1661327419.081827,41752.000,4696,1,TH,1,100,34.046
1100.927209,1100.927189,1661327419.213979,41880.000,4715,1,TH,1,100,34.046
1101.059361,1101.059341,1661327419.346132,42008.000,4731,1,TH,1,100,34.067
1101.192546,1101.192526,1661327419.479317,42137.000,4753,1,TH,1,100,34.067
1101.325731,1101.325711,1661327419.612502,42266.000,4784,1,TH,1,100,34.086
1101.457883,1101.457863,1661327419.744654,42394.000,4801,1,TH,1,100,34.086
1101.590035,1101.590015,1661327419.876806,42522.000,4821,1,TH,1,100,34.050
1101.723220,1101.723200,1661327420.009991,42651.000,4853,1,TH,1,100,34.057
1101.855373,1101.855353,1661327420.142143,42779.000,4871,1,TH,1,100,34.020
1101.988557,1101.988537,1661327420.275328,42908.000,4888,1,TH,1,100,34.020
1102.121742,1102.121722,1661327420.408513,43037.000,4905,1,TH,1,100,33.993
1102.252862,1102.252842,1661327420.539633,43164.000,4938,1,TH,1,100,33.993
1102.386047,1102.386027,1661327420.672818,43293.000,4958,1,TH,1,100,34.024
1102.519232,1102.519212,1661327420.806003,43422.000,4974,1,TH,1,100,34.024
1102.651384,1102.651364,1661327420.938155,43550.000,4991,1,TH,1,100,34.008
1102.783536,1102.783516,1661327421.070307,43678.000,5023,1,TH,1,100,34.015
1102.916721,1102.916701,1661327421.203492,43807.000,5039,1,TH,1,100,34.095
1103.048873,1103.048853,1661327421.335644,43935.000,5061,1,TH,1,100,34.095
1103.182058,1103.182038,1661327421.468829,44064.000,5080,1,TH,1,100,34.119
1103.314210,1103.314190,1661327421.600981,44192.000,5111,1,TH,1,100,34.119
1103.445330,1103.445310,1661327421.732101,44319.000,5131,1,TH,1,100,34.079
1103.578515,1103.578495,1661327421.865286,44448.000,5147,1,TH,1,100,34.079
1103.713765,1103.713745,1661327422.000536,44579.000,5180,1,TH,1,100,34.072
1103.847982,1103.847962,1661327422.134753,44709.000,5197,1,TH,1,100,34.079
1103.982199,1103.982179,1661327422.268970,44839.000,5213,1,TH,1,100,34.027
1104.113319,1104.113299,1661327422.400090,44966.000,5233,1,TH,1,100,34.027
1104.245471,1104.245451,1661327422.532243,45094.000,5266,1,TH,1,100,34.133
1104.380721,1104.380701,1661327422.667492,45225.000,5282,1,TH,1,100,34.133
1104.513906,1104.513886,1661327422.800677,45354.000,5300,1,TH,1,100,34.171
1104.647091,1104.647071,1661327422.933862,45483.000,5336,1,TH,1,100,34.171
1104.780275,1104.780255,1661327423.067047,45612.000,5355,1,TH,1,100,34.050
1104.913460,1104.913440,1661327423.200232,45741.000,5372,1,TH,1,100,34.050
1105.049742,1105.049722,1661327423.336514,45873.000,5388,1,TH,1,100,34.103
1105.182927,1105.182907,1661327423.469698,46002.000,5422,1,TH,1,100,34.103
1105.315079,1105.315059,1661327423.601851,46130.000,5444,1,TH,1,100,34.006
1105.448264,1105.448244,1661327423.735036,46259.000,5463,1,TH,1,100,34.013
1105.581449,1105.581429,1661327423.868220,46388.000,5494,1,TH,1,100,34.159
1105.715666,1105.715646,1661327424.002438,46518.000,5512,1,TH,1,100,34.159
1105.848851,1105.848831,1661327424.135623,46647.000,5528,1,TH,1,100,34.107
1105.981003,1105.980983,1661327424.267775,46775.000,5545,1,TH,1,100,34.107
1106.113156,1106.113136,1661327424.399927,46903.000,5584,1,TH,1,100,34.112
1106.246340,1106.246320,1661327424.533112,47032.000,5600,1,TH,1,100,34.112
1106.378493,1106.378473,1661327424.665264,47160.000,5617,1,TH,1,100,34.043
1106.511677,1106.511658,1661327424.798449,47289.000,5634,1,TH,1,100,34.051
1106.644862,1106.644842,1661327424.931634,47418.000,5665,1,TH,1,100,34.091
1106.775982,1106.775962,1661327425.062754,47545.000,5683,1,TH,1,100,34.091
1106.909167,1106.909147,1661327425.195939,47674.000,5699,1,TH,1,100,34.136
1107.042352,1107.042332,1661327425.329123,47803.000,5731,1,TH,1,100,34.136
1107.174504,1107.174484,1661327425.461276,47931.000,5750,1,TH,1,100,34.065
1107.307689,1107.307669,1661327425.594461,48060.000,5766,1,TH,1,100,34.065
1107.438809,1107.438789,1661327425.725580,48187.000,5784,1,TH,1,100,34.131
1107.570961,1107.570941,1661327425.857733,48315.000,5817,1,TH,1,100,34.138
1107.704146,1107.704126,1661327425.990918,48444.000,5834,1,TH,1,100,34.119
1107.837331,1107.837311,1661327426.124103,48573.000,5851,1,TH,1,100,34.119
1107.968450,1107.968431,1661327426.255222,48700.000,5867,1,TH,1,100,34.181
1108.101635,1108.101615,1661327426.388407,48829.000,5901,1,TH,1,100,34.181
1108.234820,1108.234800,1661327426.521592,48958.000,5918,1,TH,1,100,34.124
1108.366972,1108.366952,1661327426.653744,49086.000,5934,1,TH,1,100,34.124
1108.500157,1108.500137,1661327426.786929,49215.000,5957,1,TH,1,100,34.079
1108.632309,1108.632290,1661327426.919081,49343.000,5992,1,TH,1,100,34.079
1108.764462,1108.764442,1661327427.051234,49471.000,6009,1,TH,1,100,34.174
1108.899711,1108.899692,1661327427.186484,49602.000,6026,1,TH,1,100,34.174
1109.033929,1109.033909,1661327427.320701,49732.000,6044,1,TH,1,100,34.190
1109.167113,1109.167094,1661327427.453886,49861.000,6081,1,TH,1,100,34.198
1109.300298,1109.300278,1661327427.587070,49990.000,6100,1,TH,1,100,34.141
1109.431418,1109.431398,1661327427.718190,50117.000,6117,1,TH,1,100,34.141
1109.566668,1109.566648,1661327427.853440,50248.000,6134,1,TH,1,100,34.117
1109.700885,1109.700865,1661327427.987657,50378.000,6166,1,TH,1,100,34.117
1109.833037,1109.833017,1661327428.119810,50506.000,6182,1,TH,1,100,34.188
1109.966222,1109.966202,1661327428.252994,50635.000,6201,1,TH,1,100,34.188
1110.098374,1110.098355,1661327428.385147,50763.000,6237,1,TH,1,100,34.181
1110.233624,1110.233604,1661327428.520396,50894.000,6253,1,TH,1,100,34.181
1110.366809,1110.366789,1661327428.653581,51023.000,6270,1,TH,1,100,34.067
1110.499994,1110.499974,1661327428.786766,51152.000,6287,1,TH,1,100,34.067
1110.633178,1110.633159,1661327428.919951,51281.000,6309,1,TH,1,100,34.070
1110.766363,1110.766343,1661327429.053136,51410.000,6346,1,TH,1,100,34.077
1110.901613,1110.901593,1661327429.188385,51541.000,6364,1,TH,1,100,34.141
1111.033765,1111.033745,1661327429.320538,51669.000,6381,1,TH,1,100,34.141
1111.166950,1111.166930,1661327429.453722,51798.000,6400,1,TH,1,100,34.089
1111.299102,1111.299082,1661327429.585875,51926.000,6431,1,TH,1,100,34.089
1111.432287,1111.432267,1661327429.719060,52055.000,6449,1,TH,1,100,34.195
1111.565472,1111.565452,1661327429.852244,52184.000,6467,1,TH,1,100,34.195
1111.697624,1111.697604,1661327429.984397,52312.000,6499,1,TH,1,100,34.143
1111.830809,1111.830789,1661327430.117582,52441.000,6518,1,TH,1,100,34.150
1111.962961,1111.962941,1661327430.249734,52569.000,6534,1,TH,1,100,34.165
1112.095114,1112.095094,1661327430.381886,52697.000,6552,1,TH,1,100,34.165
1112.228298,1112.228279,1661327430.515071,52826.000,6588,1,TH,1,100,34.129
1112.361483,1112.361463,1661327430.648256,52955.000,6604,1,TH,1,100,34.129
1112.493635,1112.493616,1661327430.780408,53083.000,6622,1,TH,1,100,34.101
1112.625788,1112.625768,1661327430.912561,53211.000,6638,1,TH,1,100,34.101
1112.758972,1112.758953,1661327431.045745,53340.000,6672,1,TH,1,100,34.160
1112.891125,1112.891105,1661327431.177898,53468.000,6689,1,TH,1,100,34.160
1113.024310,1113.024290,1661327431.311083,53597.000,6705,1,TH,1,100,34.184
1113.157494,1113.157475,1661327431.444267,53726.000,6741,1,TH,1,100,34.184
1113.288614,1113.288595,1661327431.575387,53853.000,6758,1,TH,1,100,34.117
1113.421799,1113.421779,1661327431.708572,53982.000,6775,1,TH,1,100,34.117
1113.554984,1113.554964,1661327431.841757,54111.000,6792,1,TH,1,100,34.122
1113.687136,1113.687116,1661327431.973909,54239.000,6829,1,TH,1,100,34.129
1113.821353,1113.821334,1661327432.108126,54369.000,6847,1,TH,1,100,34.231
1113.955571,1113.955551,1661327432.242344,54499.000,6864,1,TH,1,100,34.231
1114.085658,1114.085638,1661327432.372431,54625.000,6881,1,TH,1,100,34.160
1114.219875,1114.219856,1661327432.506649,54755.000,6914,1,TH,1,100,34.160
1114.352028,1114.352008,1661327432.638801,54883.000,6934,1,TH,1,100,34.236
1114.485212,1114.485193,1661327432.771986,55012.000,6950,1,TH,1,100,34.236
1114.617365,1114.617345,1661327432.904138,55140.000,6971,1,TH,1,100,34.174
1114.752614,1114.752595,1661327433.039388,55271.000,7003,1,TH,1,100,34.174
1114.886832,1114.886812,1661327433.173605,55401.000,7019,1,TH,1,100,34.151
1115.020016,1115.019997,1661327433.306790,55530.000,7036,1,TH,1,100,34.158
1115.152169,1115.152149,1661327433.438942,55658.000,7072,1,TH,1,100,34.099
1115.284321,1115.284301,1661327433.571094,55786.000,7091,1,TH,1,100,34.099
1115.420603,1115.420583,1661327433.707376,55918.000,7109,1,TH,1,100,34.252
1115.552755,1115.552736,1661327433.839529,56046.000,7127,1,TH,1,100,34.252
1115.685940,1115.685921,1661327433.972714,56175.000,7161,1,TH,1,100,34.160
1115.819125,1115.819105,1661327434.105898,56304.000,7183,1,TH,1,100,34.160
1115.951277,1115.951258,1661327434.238051,56432.000,7199,1,TH,1,100,34.141
1116.086527,1116.086507,1661327434.373301,56563.000,7217,1,TH,1,100,34.141
1116.219712,1116.219692,1661327434.506485,56692.000,7237,1,TH,1,100,34.160
1116.351864,1116.351844,1661327434.638638,56820.000,7271,1,TH,1,100,34.167
1116.485049,1116.485029,1661327434.771822,56949.000,7288,1,TH,1,100,34.210
1116.620298,1116.620279,1661327434.907072,57080.000,7306,1,TH,1,100,34.210
1116.754516,1116.754496,1661327435.041289,57210.000,7324,1,TH,1,100,34.174
1116.887700,1116.887681,1661327435.174474,57339.000,7358,1,TH,1,100,34.174
1117.019853,1117.019833,1661327435.306627,57467.000,7376,1,TH,1,100,34.217
1117.152005,1117.151986,1661327435.438779,57595.000,7396,1,TH,1,100,34.217
1117.286222,1117.286203,1661327435.572996,57725.000,7412,1,TH,1,100,34.203
1117.418375,1117.418355,1661327435.705148,57853.000,7444,1,TH,1,100,34.203
1117.551559,1117.551540,1661327435.838333,57982.000,7461,1,TH,1,100,34.212
1117.684744,1117.684725,1661327435.971518,58111.000,7479,1,TH,1,100,34.212
1117.815864,1117.815845,1661327436.102638,58238.000,7513,1,TH,1,100,34.172
1117.949049,1117.949029,1661327436.235823,58367.000,7530,1,TH,1,100,34.172
1118.082234,1118.082214,1661327436.369008,58496.000,7547,1,TH,1,100,34.177
1118.214386,1118.214366,1661327436.501160,58624.000,7566,1,TH,1,100,34.184
1118.347571,1118.347551,1661327436.634345,58753.000,7603,1,TH,1,100,34.269
1118.479723,1118.479704,1661327436.766497,58881.000,7619,1,TH,1,100,34.269
1118.610843,1118.610823,1661327436.897617,59008.000,7636,1,TH,1,100,34.278
1118.744028,1118.744008,1661327437.030802,59137.000,7653,1,TH,1,100,34.278
1118.879277,1118.879258,1661327437.166052,59268.000,7686,1,TH,1,100,34.224
1119.013495,1119.013475,1661327437.300269,59398.000,7703,1,TH,1,100,34.224
1119.146679,1119.146660,1661327437.433454,59527.000,7722,1,TH,1,100,34.226
1119.277799,1119.277780,1661327437.564574,59654.000,7757,1,TH,1,100,34.226
1119.409952,1119.409932,1661327437.696726,59782.000,7775,1,TH,1,100,34.241
1119.546234,1119.546214,1661327437.833008,59914.000,7791,1,TH,1,100,34.241
1119.679418,1119.679399,1661327437.966193,60043.000,7808,1,TH,1,100,34.250
1119.812603,1119.812584,1661327438.099378,60172.000,7842,1,TH,1,100,34.257
1119.947853,1119.947833,1661327438.234627,60303.000,7858,1,TH,1,100,34.314
1120.082070,1120.082051,1661327438.368845,60433.000,7879,1,TH,1,100,34.314
1120.215255,1120.215235,1661327438.502029,60562.000,7897,1,TH,1,100,34.193
1120.348440,1120.348420,1661327438.635214,60691.000,7931,1,TH,1,100,34.194
1120.479560,1120.479540,1661327438.766334,60818.000,7948,1,TH,1,100,34.309
1120.616874,1120.616855,1661327438.903649,60951.000,7964,1,TH,1,100,34.309
1120.750059,1120.750039,1661327439.036833,61080.000,7996,1,TH,1,100,34.220
1120.882211,1120.882192,1661327439.168986,61208.000,8013,1,TH,1,100,34.220
1121.015396,1121.015376,1661327439.302171,61337.000,8029,1,TH,1,100,34.262
1121.147548,1121.147529,1661327439.434323,61465.000,8054,1,TH,1,100,34.262
1121.282798,1121.282778,1661327439.569572,61596.000,8070,1,TH,1,100,34.323
1121.415983,1121.415963,1661327439.702757,61725.000,8088,1,TH,1,100,34.331
1121.549168,1121.549148,1661327439.835942,61854.000,8122,1,TH,1,100,34.210
1121.681320,1121.681300,1661327439.968095,61982.000,8138,1,TH,1,100,34.210
1121.815537,1121.815518,1661327440.102312,62112.000,8156,1,TH,1,100,34.295
1121.949754,1121.949735,1661327440.236529,62242.000,8172,1,TH,1,100,34.295
1122.081907,1122.081887,1661327440.368681,62370.000,8208,1,TH,1,100,34.300
1122.215091,1122.215072,1661327440.501866,62499.000,8225,1,TH,1,100,34.300
1122.345179,1122.345159,1661327440.631954,62625.000,8243,1,TH,1,100,34.234
1122.478364,1122.478344,1661327440.765138,62754.000,8277,1,TH,1,100,34.234
1122.611548,1122.611529,1661327440.898323,62883.000,8294,1,TH,1,100,34.342
1122.743701,1122.743681,1661327441.030476,63011.000,8311,1,TH,1,100,34.342
1122.876885,1122.876866,1661327441.163660,63140.000,8328,1,TH,1,100,34.281
1123.009038,1123.009018,1661327441.295813,63268.000,8365,1,TH,1,100,34.281
1123.141190,1123.141171,1661327441.427965,63396.000,8383,1,TH,1,100,34.305
1123.274375,1123.274355,1661327441.561150,63525.000,8400,1,TH,1,100,34.305
1123.407560,1123.407540,1661327441.694335,63654.000,8419,1,TH,1,100,34.272
1123.541777,1123.541757,1661327441.828552,63784.000,8452,1,TH,1,100,34.279
1123.674962,1123.674942,1661327441.961737,63913.000,8469,1,TH,1,100,34.300
1123.806082,1123.806062,1661327442.092857,64040.000,8486,1,TH,1,100,34.300
1123.939266,1123.939247,1661327442.226041,64169.000,8517,1,TH,1,100,34.269
1124.074516,1124.074497,1661327442.361291,64300.000,8539,1,TH,1,100,34.269
1124.209766,1124.209746,1661327442.496541,64431.000,8555,1,TH,1,100,34.295
1124.341918,1124.341899,1661327442.628693,64559.000,8572,1,TH,1,100,34.295
1124.473038,1124.473018,1661327442.759813,64686.000,8609,1,TH,1,100,34.354
1124.606223,1124.606203,1661327442.892998,64815.000,8625,1,TH,1,100,34.354
1124.742505,1124.742485,1661327443.029280,64947.000,8643,1,TH,1,100,34.288
1124.876722,1124.876703,1661327443.163497,65077.000,8659,1,TH,1,100,34.288
1125.009907,1125.009887,1661327443.296682,65206.000,8691,1,TH,1,100,34.210
1125.139994,1125.139975,1661327443.426769,65332.000,8710,1,TH,1,100,34.217
1125.274211,1125.274192,1661327443.560987,65462.000,8726,1,TH,1,100,34.267
1125.406364,1125.406344,1661327443.693139,65590.000,8758,1,TH,1,100,34.267
1125.539549,1125.539529,1661327443.826324,65719.000,8775,1,TH,1,100,34.305
1125.670668,1125.670649,1661327443.957444,65846.000,8791,1,TH,1,100,34.305
1125.806951,1125.806931,1661327444.093726,65978.000,8811,1,TH,1,100,34.236
1125.940135,1125.940116,1661327444.226911,66107.000,8842,1,TH,1,100,34.236
1126.073320,1126.073301,1661327444.360096,66236.000,8862,1,TH,1,100,34.331
1126.205472,1126.205453,1661327444.492248,66364.000,8885,1,TH,1,100,34.331
1126.338657,1126.338638,1661327444.625433,66493.000,8901,1,TH,1,100,34.314
1126.474939,1126.474920,1661327444.761715,66625.000,8938,1,TH,1,100,34.314
1126.607092,1126.607072,1661327444.893867,66753.000,8955,1,TH,1,100,34.369
1126.740276,1126.740257,1661327445.027052,66882.000,8972,1,TH,1,100,34.369
1126.872429,1126.872409,1661327445.159204,67010.000,9003,1,TH,1,100,34.317
1127.006646,1127.006627,1661327445.293422,67140.000,9023,1,TH,1,100,34.317
1127.140863,1127.140844,1661327445.427639,67270.000,9041,1,TH,1,100,34.303
1127.275080,1127.275061,1661327445.561856,67400.000,9060,1,TH,1,100,34.310
1127.407233,1127.407213,1661327445.694008,67528.000,9092,1,TH,1,100,34.362
1127.539385,1127.539366,1661327445.826161,67656.000,9108,1,TH,1,100,34.362
1127.674635,1127.674615,1661327445.961411,67787.000,9128,1,TH,1,100,34.262
1127.807819,1127.807800,1661327446.094595,67916.000,9160,1,TH,1,100,34.262
1127.941004,1127.940985,1661327446.227780,68045.000,9176,1,TH,1,100,34.307
1128.073157,1128.073137,1661327446.359932,68173.000,9194,1,TH,1,100,34.307
1128.205309,1128.205290,1661327446.492085,68301.000,9212,1,TH,1,100,34.322
1128.338494,1128.338474,1661327446.625270,68430.000,9246,1,TH,1,100,34.322
1128.469614,1128.469594,1661327446.756389,68557.000,9265,1,TH,1,100,34.373
1128.603831,1128.603811,1661327446.890607,68687.000,9281,1,TH,1,100,34.373
1128.740113,1128.740094,1661327447.026889,68819.000,9299,1,TH,1,100,34.326
1128.872265,1128.872246,1661327447.159041,68947.000,9334,1,TH,1,100,34.326
1129.003385,1129.003366,1661327447.290161,69074.000,9350,1,TH,1,100,34.395
1129.136570,1129.136551,1661327447.423346,69203.000,9373,1,TH,1,100,34.395
1129.270787,1129.270768,1661327447.557563,69333.000,9389,1,TH,1,100,34.310
1129.406037,1129.406017,1661327447.692813,69464.000,9421,1,TH,1,100,34.317
1129.539221,1129.539202,1661327447.825998,69593.000,9438,1,TH,1,100,34.286
1129.669309,1129.669290,1661327447.956085,69719.000,9454,1,TH,1,100,34.286
1129.802494,1129.802474,1661327448.089270,69848.000,9486,1,TH,1,100,34.282
1129.938776,1129.938757,1661327448.225552,69980.000,9505,1,TH,1,100,34.282
1130.072993,1130.072974,1661327448.359769,70110.000,9522,1,TH,1,100,34.336
1130.205145,1130.205126,1661327448.491922,70238.000,9543,1,TH,1,100,34.336
1130.337298,1130.337278,1661327448.624074,70366.000,9575,1,TH,1,100,34.267
1130.470482,1130.470463,1661327448.757259,70495.000,9593,1,TH,1,100,34.267
1130.607797,1130.607778,1661327448.894573,70628.000,9612,1,TH,1,100,34.322
1130.739949,1130.739930,1661327449.026726,70756.000,9647,1,TH,1,100,34.322
1130.872102,1130.872082,1661327449.158878,70884.000,9663,1,TH,1,100,34.296
1131.007351,1131.007332,1661327449.294128,71015.000,9680,1,TH,1,100,34.296
1131.140536,1131.140517,1661327449.427313,71144.000,9699,1,TH,1,100,34.402
1131.273721,1131.273702,1661327449.560497,71273.000,9730,1,TH,1,100,34.409
1131.406906,1131.406886,1661327449.693682,71402.000,9748,1,TH,1,100,34.331
1131.540090,1131.540071,1661327449.826867,71531.000,9766,1,TH,1,100,34.331
1131.676372,1131.676353,1661327449.963149,71663.000,9783,1,TH,1,100,34.331
1131.809557,1131.809538,1661327450.096334,71792.000,9804,1,TH,1,100,34.331
1131.941710,1131.941690,1661327450.228486,71920.000,9822,1,TH,1,100,34.355
1132.074894,1132.074875,1661327450.361671,72049.000,9856,1,TH,1,100,34.355
1132.208079,1132.208060,1661327450.494856,72178.000,9876,1,TH,1,100,34.352
1132.342296,1132.342277,1661327450.629073,72308.000,9892,1,TH,1,100,34.352
1132.475481,1132.475462,1661327450.762258,72437.000,9914,1,TH,1,100,34.326
1132.608666,1132.608647,1661327450.895443,72566.000,9947,1,TH,1,100,34.327
