LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1100.024856,1100.024836,1661327418.311627,41006.000,4551,2,AK,1,100,3711
1100.024856,1100.024836,1661327418.311627,41006.000,4551,2,AK,1,100,RD
1100.036729,1100.036709,1661327418.323500,41017.500,4554,2,AK,1,100,4552
1100.048602,1100.048582,1661327418.335373,41029.000,4554,2,AK,1,100,RD
1102.683906,1102.683886,1661327420.970677,43581.500,5433,2,AK,1,100,4552
1105.319209,1105.319189,1661327423.605981,46134.000,5433,2,AK,1,100,RD
1105.335728,1105.335708,1661327423.622500,46150.000,5436,2,AK,1,100,5434
1105.352247,1105.352227,1661327423.639019,46166.000,5436,2,AK,1,100,RD
1107.976710,1107.976690,1661327426.263482,48708.000,6299,2,AK,1,100,5434
1110.601173,1110.601153,1661327428.887945,51250.000,6299,2,AK,1,100,RD
1110.617692,1110.617672,1661327428.904464,51266.000,6302,2,AK,1,100,6300
1110.634211,1110.634191,1661327428.920983,51282.000,6302,2,AK,1,100,RD
1113.249898,1113.249878,1661327431.536671,53815.500,7173,2,AK,1,100,6300
1115.865585,1115.865565,1661327434.152358,56349.000,7173,2,AK,1,100,RD
1115.890880,1115.890860,1661327434.177653,56373.500,7176,2,AK,1,100,7174
1115.916174,1115.916155,1661327434.202948,56398.000,7176,2,AK,1,100,RD
1118.532894,1118.532874,1661327436.819668,58932.500,8043,2,AK,1,100,7174
1121.149613,1121.149594,1661327439.436388,61467.000,8043,2,AK,1,100,RD
1121.181619,1121.181599,1661327439.468393,61498.000,8046,2,AK,1,100,8044
1121.213624,1121.213605,1661327439.500399,61529.000,8046,2,AK,1,100,RD
1123.812792,1123.812773,1661327442.099567,64046.500,8913,2,AK,1,100,8044
1126.411960,1126.411941,1661327444.698736,66564.000,8913,2,AK,1,100,RD
1126.424866,1126.424847,1661327444.711642,66576.500,8916,2,AK,1,100,8914
1126.437771,1126.437752,1661327444.724547,66589.000,8916,2,AK,1,100,RD
1129.088561,1129.088542,1661327447.375337,69156.500,9794,2,AK,1,100,8914
1131.739351,1131.739332,1661327450.026128,71724.000,9794,2,AK,1,100,RD
1134.393239,1134.393219,1661327452.680016,74294.500,10666,2,AK,1,100,9795
1137.047126,1137.047107,1661327455.333904,76865.000,10666,2,AK,1,100,RD
1137.053321,1137.053301,1661327455.340098,76871.000,10668,2,AK,1,100,9795
1137.059515,1137.059496,1661327455.346293,76877.000,10668,2,AK,1,100,RD
1137.071904,1137.071885,1661327455.358682,76889.000,10671,2,AK,1,100,10669
1137.084294,1137.084275,1661327455.371071,76901.000,10671,2,AK,1,100,RD
1139.719081,1139.719062,1661327458.005859,79453.000,11551,2,AK,1,100,10669
1142.353868,1142.353849,1661327460.640647,82005.000,11551,2,AK,1,100,RD
1145.015499,1145.015480,1661327463.302278,84583.000,12360,2,AK,1,100,11552
1147.677129,1147.677110,1661327465.963909,87161.000,12360,2,AK,1,100,RD
1147.682808,1147.682789,1661327465.969587,87166.500,12362,2,AK,1,100,11552
1147.688486,1147.688467,1661327465.975266,87172.000,12362,2,AK,1,100,RD
1147.701392,1147.701373,1661327465.988171,87184.500,12365,2,AK,1,100,12363
1147.714297,1147.714278,1661327466.001077,87197.000,12365,2,AK,1,100,RD
1150.328952,1150.328933,1661327468.615732,89729.500,13238,2,AK,1,100,12363
1152.943606,1152.943587,1661327471.230387,92262.000,13238,2,AK,1,100,RD
1152.960641,1152.960623,1661327471.247422,92278.500,13241,2,AK,1,100,13239
1152.977677,1152.977658,1661327471.264457,92295.000,13241,2,AK,1,100,RD
1155.596977,1155.596959,1661327473.883758,94832.000,14111,2,AK,1,100,13239
1158.216278,1158.216259,1661327476.503059,97369.000,14111,2,AK,1,100,RD
1158.229699,1158.229681,1661327476.516481,97382.000,14114,2,AK,1,100,14112
1158.243121,1158.243103,1661327476.529903,97395.000,14114,2,AK,1,100,RD
1160.866552,1160.866533,1661327479.153334,99936.000,14979,2,AK,1,100,14112
1163.489982,1163.489963,1661327481.776764,102477.000,14979,2,AK,1,100,RD
1163.502887,1163.502869,1661327481.789670,102489.500,14982,2,AK,1,100,14980
1163.515793,1163.515774,1661327481.802576,102502.000,14982,2,AK,1,100,RD
1166.144385,1166.144367,1661327484.431169,105048.000,15855,2,AK,1,100,14980
1168.772978,1168.772960,1661327487.059762,107594.000,15855,2,AK,1,100,RD
1168.799821,1168.799803,1661327487.086605,107620.000,15858,2,AK,1,100,15856
1168.826665,1168.826646,1661327487.113448,107646.000,15858,2,AK,1,100,RD
1171.442868,1171.442850,1661327489.729652,110180.000,16733,2,AK,1,100,15856
1174.059071,1174.059053,1661327492.345856,112714.000,16733,2,AK,1,100,RD
1174.071977,1174.071959,1661327492.358761,112726.500,16736,2,AK,1,100,16734
1174.084882,1174.084864,1661327492.371667,112739.000,16736,2,AK,1,100,RD
1176.710894,1176.710875,1661327494.997679,115282.500,17591,2,AK,1,100,16734
1179.336905,1179.336887,1661327497.623691,117826.000,17591,2,AK,1,100,RD
1179.349810,1179.349792,1661327497.636596,117838.500,17594,2,AK,1,100,17592
1179.362716,1179.362698,1661327497.649502,117851.000,17594,2,AK,1,100,RD
1181.983565,1181.983547,1661327500.270351,120389.500,18420,2,AK,1,100,17592
1184.604414,1184.604397,1661327502.891201,122928.000,18420,2,AK,1,100,RD
1184.620417,1184.620399,1661327502.907204,122943.500,18423,2,AK,1,100,18421
1184.636420,1184.636402,1661327502.923207,122959.000,18423,2,AK,1,100,RD
1187.284113,1187.284095,1661327505.570900,125523.500,19306,2,AK,1,100,18421
1189.931805,1189.931788,1661327508.218593,128088.000,19306,2,AK,1,100,RD
1189.944195,1189.944177,1661327508.230982,128100.000,19309,2,AK,1,100,19307
1189.956584,1189.956566,1661327508.243371,128112.000,19309,2,AK,1,100,RD
1192.600147,1192.600129,1661327510.886935,130672.500,20204,2,AK,1,100,19307
1195.243710,1195.243692,1661327513.530499,133233.000,20204,2,AK,1,100,RD
1195.256099,1195.256081,1661327513.542888,133245.000,20207,2,AK,1,100,20205
1195.268488,1195.268471,1661327513.555277,133257.000,20207,2,AK,1,100,RD
1197.905340,1197.905323,1661327516.192129,135811.000,21072,2,AK,1,100,20205
1200.542192,1200.542175,1661327518.828982,138365.000,21072,2,AK,1,100,RD
1200.560260,1200.560242,1661327518.847050,138382.500,21075,2,AK,1,100,21073
1200.578328,1200.578310,1661327518.865117,138400.000,21075,2,AK,1,100,RD
1203.200725,1203.200708,1661327521.487516,140940.000,21934,2,AK,1,100,21073
1205.823123,1205.823106,1661327524.109914,143480.000,21934,2,AK,1,100,RD
1205.864421,1205.864404,1661327524.151212,143520.000,21937,2,AK,1,100,21935
1205.905719,1205.905701,1661327524.192509,143560.000,21937,2,AK,1,100,RD
