LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1096.095389,1096.095369,1661327414.382159,37200.000,3924,1,BV,1,100,3.95
1097.089629,1097.089609,1661327415.376399,38163.000,4096,1,BV,1,100,3.95
1098.089031,1098.089011,1661327416.375801,39131.000,4252,1,BV,1,100,3.95
1099.087401,1099.087381,1661327417.374171,40098.000,4425,1,BV,1,100,3.95
1100.089900,1100.089880,1661327418.376670,41069.000,4589,1,BV,1,100,3.94
1101.085172,1101.085152,1661327419.371943,42033.000,4741,1,BV,1,100,3.94
1102.081477,1102.081457,1661327420.368248,42998.000,4915,1,BV,1,100,3.95
1103.074684,1103.074664,1661327421.361455,43960.000,5071,1,BV,1,100,3.94
1104.073054,1104.073034,1661327422.359825,44927.000,5243,1,BV,1,100,3.94
1105.074521,1105.074501,1661327423.361292,45897.000,5414,1,BV,1,100,3.94
1106.073923,1106.073903,1661327424.360694,46865.000,5569,1,BV,1,100,3.94
1107.068163,1107.068143,1661327425.354934,47828.000,5741,1,BV,1,100,3.94
1108.061370,1108.061350,1661327426.348142,48790.000,5894,1,BV,1,100,3.94
1109.060772,1109.060752,1661327427.347544,49758.000,6070,1,BV,1,100,3.94
1110.058109,1110.058089,1661327428.344882,50724.000,6225,1,BV,1,100,3.94
1111.059576,1111.059556,1661327429.346349,51694.000,6391,1,BV,1,100,3.94
1112.054848,1112.054829,1661327430.341621,52658.000,6562,1,BV,1,100,3.94
1113.049088,1113.049068,1661327431.335861,53621.000,6715,1,BV,1,100,3.94
1114.045393,1114.045373,1661327432.332166,54586.000,6891,1,BV,1,100,3.94
1115.044795,1115.044775,1661327433.331568,55554.000,7046,1,BV,1,100,3.94
1116.046262,1116.046242,1661327434.333035,56524.000,7227,1,BV,1,100,3.94
1117.046696,1117.046677,1661327435.333470,57493.000,7386,1,BV,1,100,3.94
1118.041968,1118.041949,1661327436.328743,58457.000,7557,1,BV,1,100,3.94
1119.040338,1119.040318,1661327437.327112,59424.000,7713,1,BV,1,100,3.94
1120.041805,1120.041785,1661327438.328579,60394.000,7889,1,BV,1,100,3.94
1121.040175,1121.040155,1661327439.326949,61361.000,8039,1,BV,1,100,3.94
1122.041641,1122.041622,1661327440.328416,62331.000,8197,1,BV,1,100,3.94
1123.033816,1123.033797,1661327441.320591,63292.000,8375,1,BV,1,100,3.94
1124.033218,1124.033199,1661327442.319993,64260.000,8527,1,BV,1,100,3.94
1125.033653,1125.033633,1661327443.320428,65229.000,8701,1,BV,1,100,3.94
1126.033055,1126.033035,1661327444.319830,66197.000,8872,1,BV,1,100,3.94
1127.033489,1127.033470,1661327445.320265,67166.000,9033,1,BV,1,100,3.94
1128.032891,1128.032872,1661327446.319667,68134.000,9204,1,BV,1,100,3.94
1129.029196,1129.029177,1661327447.315972,69099.000,9360,1,BV,1,100,3.94
1130.032728,1130.032709,1661327448.319504,70071.000,9532,1,BV,1,100,3.94
1131.033162,1131.033143,1661327449.319939,71040.000,9690,1,BV,1,100,3.94
1132.034629,1132.034610,1661327450.321406,72010.000,9847,1,BV,1,100,3.94
1133.034031,1133.034012,1661327451.320808,72978.000,10024,1,BV,1,100,3.94
1134.033433,1134.033414,1661327452.320210,73946.000,10183,1,BV,1,100,3.93
1135.029738,1135.029719,1661327453.316515,74911.000,10351,1,BV,1,100,3.94
1136.033270,1136.033251,1661327454.320047,75883.000,10509,1,BV,1,100,3.94
1137.031639,1137.031620,1661327455.318417,76850.000,10692,1,BV,1,100,3.94
1138.032074,1138.032055,1661327456.318851,77819.000,10844,1,BV,1,100,3.94
1139.030443,1139.030424,1661327457.317221,78786.000,11018,1,BV,1,100,3.94
1140.031910,1140.031891,1661327458.318688,79756.000,11179,1,BV,1,100,3.93
1141.032345,1141.032326,1661327459.319123,80725.000,11351,1,BV,1,100,3.93
1142.032779,1142.032760,1661327460.319558,81694.000,11513,1,BV,1,100,3.94
1143.031149,1143.031130,1661327461.317927,82661.000,11672,1,BV,1,100,3.94
1144.028486,1144.028467,1661327462.315265,83627.000,11820,1,BV,1,100,3.94
1145.025823,1145.025804,1661327463.312602,84593.000,11947,1,BV,1,100,3.94
1146.023160,1146.023141,1661327464.309939,85559.000,12100,1,BV,1,100,3.94
1147.026692,1147.026673,1661327465.313472,86531.000,12271,1,BV,1,100,3.94
1148.027126,1148.027108,1661327466.313906,87500.000,12436,1,BV,1,100,3.94
1149.022399,1149.022380,1661327467.309179,88464.000,12612,1,BV,1,100,3.93
1150.016638,1150.016620,1661327468.303419,89427.000,12762,1,BV,1,100,3.93
1151.019138,1151.019119,1661327469.305918,90398.000,12942,1,BV,1,100,3.94
1152.020605,1152.020586,1661327470.307385,91368.000,13095,1,BV,1,100,3.94
1153.017942,1153.017923,1661327471.304723,92334.000,13274,1,BV,1,100,3.94
1154.017344,1154.017325,1661327472.304125,93302.000,13429,1,BV,1,100,3.93
1155.010551,1155.010533,1661327473.297332,94264.000,13604,1,BV,1,100,3.93
1156.009953,1156.009935,1661327474.296735,95232.000,13779,1,BV,1,100,3.94
1157.007290,1157.007272,1661327475.294072,96198.000,13938,1,BV,1,100,3.94
1158.010822,1158.010804,1661327476.297604,97170.000,14088,1,BV,1,100,3.93
1159.008159,1159.008141,1661327477.294941,98136.000,14269,1,BV,1,100,3.93
1160.003432,1160.003413,1661327478.290214,99100.000,14432,1,BV,1,100,3.93
1160.996639,1160.996620,1661327479.283421,100062.000,14598,1,BV,1,100,3.93
1162.001203,1162.001185,1661327480.287986,101035.000,14751,1,BV,1,100,3.93
1162.999573,1162.999554,1661327481.286355,102002.000,14925,1,BV,1,100,3.93
1163.998975,1163.998956,1661327482.285758,102970.000,15084,1,BV,1,100,3.93
1164.992182,1164.992164,1661327483.278965,103932.000,15241,1,BV,1,100,3.93
1165.988487,1165.988469,1661327484.275270,104897.000,15421,1,BV,1,100,3.93
1166.985824,1166.985806,1661327485.272607,105863.000,15573,1,BV,1,100,3.93
1167.983161,1167.983143,1661327486.269945,106829.000,15749,1,BV,1,100,3.93
1168.985660,1168.985642,1661327487.272444,107800.000,15910,1,BV,1,100,3.93
1169.978868,1169.978850,1661327488.265652,108762.000,16066,1,BV,1,100,3.93
1170.972075,1170.972057,1661327489.258859,109724.000,16223,1,BV,1,100,3.93
1171.967348,1171.967329,1661327490.254132,110688.000,16398,1,BV,1,100,3.93
1172.968814,1172.968796,1661327491.255599,111658.000,16570,1,BV,1,100,3.93
1173.968216,1173.968198,1661327492.255001,112626.000,16730,1,BV,1,100,3.93
1174.966586,1174.966568,1661327493.253371,113593.000,16905,1,BV,1,100,3.93
1175.961858,1175.961840,1661327494.248643,114557.000,17065,1,BV,1,100,3.94
1176.957131,1176.957112,1661327495.243916,115521.000,17224,1,BV,1,100,3.93
1177.952403,1177.952385,1661327496.239188,116485.000,17376,1,BV,1,100,3.93
1178.952837,1178.952819,1661327497.239623,117454.000,17550,1,BV,1,100,3.93
1179.955337,1179.955319,1661327498.242122,118425.000,17716,1,BV,1,100,3.93
1180.950609,1180.950591,1661327499.237395,119389.000,17828,1,BV,1,100,3.92
1181.945881,1181.945863,1661327500.232667,120353.000,18000,1,BV,1,100,3.93
1182.941153,1182.941135,1661327501.227940,121317.000,18156,1,BV,1,100,3.93
1183.945718,1183.945700,1661327502.232504,122290.000,18333,1,BV,1,100,3.93
1184.942022,1184.942004,1661327503.228809,123255.000,18491,1,BV,1,100,3.93
1185.939359,1185.939342,1661327504.226146,124221.000,18667,1,BV,1,100,3.94
1186.933599,1186.933581,1661327505.220387,125184.000,18816,1,BV,1,100,3.93
1187.930936,1187.930919,1661327506.217724,126150.000,18994,1,BV,1,100,3.93
1188.927241,1188.927223,1661327507.214029,127115.000,19147,1,BV,1,100,3.93
1189.929740,1189.929723,1661327508.216528,128086.000,19327,1,BV,1,100,3.93
1190.929142,1190.929125,1661327509.215930,129054.000,19500,1,BV,1,100,3.94
1191.925447,1191.925429,1661327510.212235,130019.000,19654,1,BV,1,100,3.94
1192.918655,1192.918637,1661327511.205443,130981.000,19831,1,BV,1,100,3.93
1193.922186,1193.922169,1661327512.208975,131953.000,19990,1,BV,1,100,3.93
1194.923653,1194.923636,1661327513.210442,132923.000,20163,1,BV,1,100,3.93
1195.923055,1195.923038,1661327514.209844,133891.000,20343,1,BV,1,100,3.93
1196.921425,1196.921407,1661327515.208214,134858.000,20502,1,BV,1,100,3.93
1197.918762,1197.918744,1661327516.205551,135824.000,20672,1,BV,1,100,3.93
1198.917132,1198.917114,1661327517.203921,136791.000,20826,1,BV,1,100,3.93
1199.914469,1199.914451,1661327518.201258,137757.000,20984,1,BV,1,100,3.93
1200.915936,1200.915918,1661327519.202725,138727.000,21163,1,BV,1,100,3.93
1201.917402,1201.917385,1661327520.204192,139697.000,21325,1,BV,1,100,3.93
1202.915772,1202.915755,1661327521.202562,140664.000,21493,1,BV,1,100,3.93
1203.915174,1203.915157,1661327522.201964,141632.000,21645,1,BV,1,100,3.93
1204.917673,1204.917656,1661327523.204464,142603.000,21798,1,BV,1,100,3.93
1205.919140,1205.919123,1661327524.205931,143573.000,21960,1,BV,1,100,3.93
