RD,TS_received,TS_sent,AK,RoundTrip,
41007,41027,2022-08-24_09-50-18-323308,41029,20,
46135,46163,2022-08-24_09-50-23-630847,46166,28,
51251,51278,2022-08-24_09-50-28-915217,51282,27,
56349,56395,2022-08-24_09-50-34-182965,56398,46,
61467,61527,2022-08-24_09-50-39-473777,61529,60,
66564,66586,2022-08-24_09-50-44-722414,66589,22,
71724,76856,2022-08-24_09-50-50-038003,76865,5132,
76878,76898,2022-08-24_09-50-55-351583,76901,20,
82005,87150,2022-08-24_09-51-00-636138,87161,5145,
87173,87194,2022-08-24_09-51-05-969634,87197,21,
92268,92292,2022-08-24_09-51-11-228788,92295,24,
97370,97392,2022-08-24_09-51-16-494607,97395,22,
102477,102498,2022-08-24_09-51-21-767205,102502,21,
107594,107642,2022-08-24_09-51-27-080609,107646,48,
112714,112736,2022-08-24_09-51-32-349705,112739,22,
117827,117847,2022-08-24_09-51-37-635372,117851,20,
122929,122956,2022-08-24_09-51-42-902543,122959,27,
128088,128109,2022-08-24_09-51-48-234464,128112,21,
133233,133255,2022-08-24_09-51-53-544050,133257,22,
138365,138397,2022-08-24_09-51-58-852954,138400,32,
143480,143557,2022-08-24_09-52-04-152289,143560,77,